Instance,Edges,k,Seed,Objective,Total Time (s),Best Num Evals,Best Actual Time (s)
howe2,63,2,8524,203.965,356.349,452207,199.805
howe2,63,2,2650,215.007,373.099,434098,198.871
howe2,63,2,2811,213.445,375.983,601819,256.8
howe2,63,2,9963,208.016,352.396,538334,220.162
howe2,63,2,7537,207.842,362.231,415531,190.49
howe2,63,2,3472,207.559,369.996,624624,259.014
howe2,63,2,3714,223.437,366.299,374670,170.401
howe2,63,2,8158,222.848,368.296,627403,253.178
howe2,63,2,7284,215.545,365.529,376784,174.655
howe2,63,2,6948,209.518,375.742,725441,292.56
howe2,63,2,6119,203.569,358.914,726763,280.231
howe2,63,2,5253,202.857,377.559,851848,334.194
howe2,63,2,5134,195.034,336.055,384775,166.213
howe2,63,2,7350,206.262,341.503,375292,162.631
howe2,63,2,2652,213.445,365.763,604209,247.921
howe2,63,2,9968,206.728,362.792,454599,199.649
howe2,63,2,3914,198.308,362.155,651198,264.433
howe2,63,2,6899,214.568,360.904,478472,205.643
howe2,63,2,4715,218.719,375.906,612288,253.223
howe2,63,4,3520,133.286,433.992,408197,213
howe2,63,4,8115,131.013,429.823,446386,227.528
howe2,63,4,8647,118.31,406.255,604302,277.138
howe2,63,4,9420,138.829,437.852,365334,196.189
howe2,63,4,3116,130.127,417.41,488449,237.73
howe2,63,4,6377,141.602,448.201,614798,304.367
howe2,63,4,6207,126.829,429.134,581595,291.322
howe2,63,4,4187,130.314,430.531,487110,246.665
howe2,63,4,3641,135.725,426.53,423288,216.701
howe2,63,4,8591,125.592,429.157,714825,327.531
howe2,63,4,3580,124.469,438.594,575285,291.974
howe2,63,4,8524,144.574,448.411,604955,294.708
howe2,63,4,2650,133.163,426.304,673006,308.346
howe2,63,4,2811,135.121,418.834,505716,243.358
howe2,63,4,9963,138.725,440.243,380534,203.619
howe2,63,4,7537,145.559,436.963,349405,188.584
howe2,63,4,3472,153.98,459.999,365924,202.091
howe2,63,4,3714,137.838,412.934,325559,166.567
howe2,63,4,8158,136.857,420.673,326583,177.386
howe2,63,4,7284,123.853,383.443,499455,226.039
howe2,63,4,6948,127.551,371.712,423890,185.516
howe2,63,4,6119,136.706,402.847,347919,170.447
howe2,63,4,5253,133.172,390.024,424496,202.5
howe2,63,4,5134,132.277,398.364,493882,228.112
howe2,63,4,7350,142.409,416.689,420412,211.975
howe2,63,4,2652,125.592,401.594,633170,280.595
howe2,63,4,9968,156.121,425.491,300582,155.974
howe2,63,4,3914,134.433,410.437,464488,227.624
howe2,63,4,6899,125.46,390.853,499136,233.274
howe2,63,4,4715,139.13,390.157,366022,171.744
howe2,63,8,3520,94.8531,498.443,898132,452.744
howe2,63,8,8115,90.154,490.01,672666,349.844
howe2,63,8,8647,81.8623,492.953,649075,352.95
howe2,63,8,9420,92.4147,497.163,353339,205.673
howe2,63,8,3116,97.1174,492.044,422333,234.916
howe2,63,8,6377,86.2733,487.666,466808,264.323
howe2,63,8,6207,93.0218,508.208,581262,318.113
howe2,63,8,4187,94.2825,490.097,408198,225.993
howe2,63,8,3641,77.5561,444.717,434200,228.824
howe2,63,8,8591,91.0037,474.508,320122,180.813
howe2,63,8,3580,93.4513,514.343,548697,312.4
howe2,63,8,8524,95.565,495.219,319368,180.848
howe2,63,8,2650,91.2733,491.01,830347,416.952
howe2,63,8,2811,91.9945,476.513,427094,227.333
howe2,63,8,9963,99.2825,496.744,326955,183.501
howe2,63,8,7537,91.679,497.115,474020,264.848
howe2,63,8,3472,88.3007,477.052,370355,209.446
howe2,63,8,3714,92.4239,489.939,431547,245.337
howe2,63,8,8158,88.5323,487.813,452397,249.177
howe2,63,8,7284,90.9944,475.137,360737,199.892
howe2,63,8,6948,93.5376,499.963,423518,243.952
howe2,63,8,6119,102.829,527.771,464008,272.219
howe2,63,8,5253,85.0218,461.587,458926,241.451
howe2,63,8,5134,88.2915,459.643,704814,338.787
howe2,63,8,7350,96.7301,500.179,778775,395.798
howe2,63,8,2652,90.4329,474.398,363250,200.41
howe2,63,8,9968,85.5376,482.299,478308,262.462
howe2,63,8,3914,82.5834,457.293,523666,272.329
howe2,63,8,6899,87.2825,494.228,547284,299.07
howe2,63,8,4715,87.7064,506.676,646982,357.363
howe3,89,2,3520,304.686,585.622,642299,417.237
howe3,89,2,8115,276.353,591.661,911974,554.381
howe3,89,2,8647,302.987,639.99,729950,515.916
howe3,89,2,9420,314.822,607.097,505531,371.994
howe3,89,2,3116,304.672,633.85,740806,512.294
howe3,89,2,6377,333.339,637.208,616085,446.481
howe3,89,2,6207,281.695,631.388,875605,578.26
howe3,89,2,4187,313.545,639.557,791800,539.659
howe3,89,2,3641,309.846,648.486,836842,570.969
howe3,89,2,8591,290.302,587.68,765412,481.489
howe3,89,2,3580,327.002,639.239,594671,443.97
howe3,89,2,8524,305.992,632.43,792017,536.188
howe3,89,2,2650,281.477,601.623,831657,528.529
howe3,89,2,2811,309.416,622.434,709651,486.075
howe3,89,2,9963,303.987,618.64,642964,451.423
howe3,89,2,7537,308.548,620.822,664817,460.823
howe3,89,2,3472,309.581,638.56,929356,604.499
howe3,89,2,3714,318.878,619.008,643056,451.083
howe3,89,2,8158,298.713,646.456,755996,532.495
howe3,89,2,7284,309.02,597.854,591731,405.689
howe3,89,2,6948,302.837,616.997,692610,472.898
howe3,89,2,6119,323.915,645.668,806691,549.143
howe3,89,2,5253,317.124,630.79,762794,516.174
howe3,89,2,5134,302.527,613.936,670394,463.534
howe3,89,2,7350,304.969,616.76,889223,566.039
howe3,89,2,2652,294.119,617.414,981011,608.486
howe3,89,2,9968,326.33,648.888,876542,585.405
howe3,89,2,3914,296.275,632.108,869732,573.969
howe3,89,2,6899,289.572,581.365,820776,501.709
howe3,89,2,4715,317.576,637.605,649751,471.479
howe3,89,4,3520,203.559,675.076,507428,415.352
howe3,89,4,8115,187.715,677.832,676356,503.733
howe3,89,4,8647,199.838,688.99,644150,493.617
howe3,89,4,9420,190.139,731.713,841074,648.993
howe3,89,4,3116,195.578,669.19,685025,499.812
howe3,89,4,6377,204.527,700.988,548238,444.33
howe3,89,4,6207,209.857,704.377,717654,541.369
howe3,89,4,4187,206.697,677.321,471582,380.434
howe3,89,4,3641,194.683,688.863,672557,511.901
howe3,89,4,8591,202.743,684.726,558654,439.668
howe3,89,4,3580,186.148,641.795,665398,470.115
howe3,89,4,8524,198.121,666.3,607847,450.431
howe3,89,4,2650,202.13,714.647,781433,594.743
howe3,89,4,2811,188.002,683.142,736539,545.011
howe3,89,4,9963,188.587,630.072,579175,414.335
howe3,89,4,7537,203.112,671.91,548231,425.277
howe3,89,4,3472,201.308,684.057,684593,508.611
howe3,89,4,3714,192.286,649.028,770867,528.752
howe3,89,4,8158,184.725,673.884,810536,576.997
howe3,89,4,7284,176.286,647.011,864230,578.937
howe3,89,4,6948,194.418,675.744,868116,606.039
howe3,89,4,6119,200.29,670.257,552106,423.613
howe3,89,4,5253,184.395,645.153,555653,414.46
howe3,89,4,5134,190.286,658.83,737252,522.943
howe3,89,4,7350,193.031,636.488,525166,381.7
howe3,89,4,2652,191.706,665.037,690278,500.363
howe3,89,4,9968,187.277,644.42,598209,442.383
howe3,89,4,3914,195.04,697.253,610515,483.933
howe3,89,4,6899,199.989,646.743,466166,361.113
howe3,89,4,4715,199.445,632.107,532079,391.369
howe3,89,8,3520,125.277,723.757,457013,389.237
howe3,89,8,8115,132.625,782.207,980841,769.238
howe3,89,8,8647,142.583,779.211,498095,432.307
howe3,89,8,9420,148.875,802.272,533802,471.042
howe3,89,8,3116,126.848,745.939,718941,568.681
howe3,89,8,6377,139.971,780.576,642047,539.15
howe3,89,8,6207,145.532,806.162,587893,510.175
howe3,89,8,4187,118.433,735.71,803425,621.912
howe3,89,8,3641,128.716,773.72,984911,763.836
howe3,89,8,8591,137.848,781.17,743209,611.058
howe3,89,8,3580,126.328,753.052,764160,606.765
howe3,89,8,8524,135.424,786.702,714427,598.284
howe3,89,8,2650,117.706,746.876,839271,651.843
howe3,89,8,2811,143.455,782.122,467963,417.507
howe3,89,8,9963,131.295,733.441,470493,392.655
howe3,89,8,7537,141.578,804.539,637511,548.244
howe3,89,8,3472,124.706,754.814,676123,547.967
howe3,89,8,3714,122.839,748.49,672913,544.53
howe3,89,8,8158,139.574,786.828,440836,397.432
howe3,89,8,7284,127.994,771.643,828775,665.123
howe3,89,8,6948,136.031,765.952,542523,459.698
howe3,89,8,6119,126.003,768.218,774580,626.182
howe3,89,8,5253,135.551,755.764,536698,452.617
howe3,89,8,5134,133.418,770.017,671151,558.403
howe3,89,8,7350,117.706,710.803,931805,671.044
howe3,89,8,2652,143.433,774.036,432952,383.52
howe3,89,8,9968,124.565,752.757,596560,498.351
howe3,89,8,3914,131.947,771.382,506661,450.766
howe3,89,8,6899,137.163,754.456,548043,459.771
howe3,89,8,4715,129.428,756.57,587231,494.648
howe4,115,2,3520,394.357,898.444,963614,874.223
howe4,115,2,8115,395.534,943.701,975798,927.597
howe4,115,2,8647,392.976,956.648,884066,882.602
howe4,115,2,9420,403.444,910.76,807794,784.694
howe4,115,2,3116,416.297,1043.44,991186,1036.95
howe4,115,2,6377,406.726,1000.57,957382,971.911
howe4,115,2,6207,398.919,945.008,997906,943.013
howe4,115,2,4187,415.297,905.173,706604,709.015
howe4,115,2,3641,399.9,1001.94,1000097,1001.45
howe4,115,2,8591,390.741,939.154,975978,923.164
howe4,115,2,3580,405.858,933.065,995083,929.259
howe4,115,2,8524,388.585,930.647,990017,923.894
howe4,115,2,2650,392.293,973.816,883855,898.527
howe4,115,2,2811,409.9,971.577,997543,969.253
howe4,115,2,9963,396.867,915.717,858084,825.528
howe4,115,2,7537,398.576,986.778,992262,981.22
howe4,115,2,3472,432.534,1015.52,937651,970.644
howe4,115,2,3714,410.288,936.049,872250,849.675
howe4,115,2,8158,418.835,1000.36,1000970,1000.34
howe4,115,2,7284,404.444,969.472,908295,910.181
howe4,115,2,6948,419.438,906.837,998034,904.979
howe4,115,2,6119,404.225,907.268,985115,897.591
howe4,115,2,5253,404.032,896.089,993955,891.823
howe4,115,2,5134,391.324,863.796,1000006,863.301
howe4,115,2,7350,374.745,844.785,997757,842.984
howe4,115,2,2652,365.891,845.987,893599,786.834
howe4,115,2,9968,391.444,876.744,884006,807.074
howe4,115,2,3914,414.014,874.916,985702,865.542
howe4,115,2,6899,376.982,899.389,995360,896.341
howe4,115,2,4715,432.038,925.877,986993,916.705
howe4,115,4,3520,261.002,1025.78,730480,815.201
howe4,115,4,8115,237.761,955.227,738582,768.805
howe4,115,4,8647,233.993,993.887,974247,975.437
howe4,115,4,9420,255.002,1084.62,993747,1079.19
howe4,115,4,3116,268.203,1042.44,883481,951.028
howe4,115,4,6377,290.44,1074.17,698477,818.492
howe4,115,4,6207,245.413,965.74,995288,961.629
howe4,115,4,4187,254.413,1049.3,995652,1045.4
howe4,115,4,3641,252.148,1021.42,998153,1019.4
howe4,115,4,8591,258.897,1024.62,894616,948.14
howe4,115,4,3580,241.002,963.442,962055,936.815
howe4,115,4,8524,257.338,957.65,790323,812.096
howe4,115,4,2650,259.6,924.179,914191,863.097
howe4,115,4,2811,247.855,975.757,999697,974.893
howe4,115,4,9963,264.965,991.329,743688,804.425
howe4,115,4,7537,271.873,910.106,556642,579.776
howe4,115,4,3472,238.761,943.765,874376,860.057
howe4,115,4,3714,260.605,964.398,801417,817.694
howe4,115,4,8158,257.143,940.986,944171,901.909
howe4,115,4,7284,246.719,936.675,834618,822.607
howe4,115,4,6948,260.002,959.964,670248,714.697
howe4,115,4,6119,256.463,960.565,889161,882.573
howe4,115,4,5253,265.998,963.094,810677,826.641
howe4,115,4,5134,257.609,944.838,848134,836.397
howe4,115,4,7350,244.5,895.169,750661,731.438
howe4,115,4,2652,270.413,968.456,838424,851.442
howe4,115,4,9968,281.308,934.59,606287,636.392
howe4,115,4,3914,246.582,940.375,986429,930.341
howe4,115,4,6899,262.774,994.256,898477,920.866
howe4,115,4,4715,265.563,976.249,950888,938.815
howe4,115,8,3520,167.734,1142,974661,1118.37
howe4,115,8,8115,186.268,1146.6,654363,811.854
howe4,115,8,8647,166.719,1113.59,825973,959.749
howe4,115,8,9420,162.725,1131.5,991190,1123.46
howe4,115,8,3116,175.592,1086.97,988841,1076.55
howe4,115,8,6377,163.587,1066.89,900406,982.2
howe4,115,8,6207,170.346,1096.78,790189,918.904
howe4,115,8,4187,166.839,1056.79,724050,823.515
howe4,115,8,3641,177.148,1123.98,994563,1118.31
howe4,115,8,8591,180.842,1075.1,737854,842.421
howe4,115,8,3580,175.98,1098.91,636711,781.393
howe4,115,8,8524,185.716,1120.41,701466,843.189
howe4,115,8,2650,167.71,1069.3,963544,1038.28
howe4,115,8,2811,160.437,1033.19,992017,1026.02
howe4,115,8,9963,172.031,1086.3,992681,1079.37
howe4,115,8,7537,165.437,1042.92,970519,1018.14
howe4,115,8,3472,172.158,1078.92,845323,944.013
howe4,115,8,3714,181.272,1110,872738,994.46
howe4,115,8,8158,175.016,1037.27,641218,739.426
howe4,115,8,7284,170.455,1095.24,1000059,1094.54
howe4,115,8,6948,167.117,1040.17,994752,1035.01
howe4,115,8,6119,177.158,1074.2,709250,823.421
howe4,115,8,5253,162.89,1060.87,899503,976.068
howe4,115,8,5134,168.536,1083.32,961058,1049.36
howe4,115,8,7350,180.734,1084.94,745552,857.18
howe4,115,8,2652,173.154,1056.95,708703,802.562
howe4,115,8,9968,172.56,1138.48,977181,1117.66
howe4,115,8,3914,168.629,1081.65,959652,1047.13
howe4,115,8,6899,162.706,1034.24,975707,1013.74
howe4,115,8,4715,170.058,1143.06,999512,1141.84
howe5,141,2,3520,526.739,1404.56,978853,1384.75
howe5,141,2,8115,534.154,1475.63,984707,1460.7
howe5,141,2,8647,494.274,1289.95,997410,1286.99
howe5,141,2,9420,548.214,1358.92,998769,1356.78
howe5,141,2,3116,528.42,1420.12,930481,1355.71
howe5,141,2,6377,523.045,1400.27,988398,1388.9
howe5,141,2,6207,497.351,1304.63,982610,1289.11
howe5,141,2,4187,531.739,1382.91,999102,1381.34
howe5,141,2,3641,490.273,1239.29,995412,1234.53
howe5,141,2,8591,542.625,1402.56,982388,1385.33
howe5,141,2,3580,539.885,1393.5,999926,1392.5
howe5,141,2,8524,506.576,1315.01,994602,1309.41
howe5,141,2,2650,493.712,1349.81,997288,1346.7
howe5,141,2,2811,509.306,1375.24,992890,1368.49
howe5,141,2,9963,539.607,1229.34,992438,1222.12
howe5,141,2,7537,522.804,1305.18,989150,1295.12
