Instance,Edges,k,Seed,Objective,Total Time (s),Evals
howe2,63,4,3520,107.258797,31.971,3272
howe2,63,4,8647,107.688228,33.014,14680
howe2,63,4,9420,104.030811,32.978,1426
howe2,63,4,3116,104.706404,32.193,9222
howe2,63,4,6377,105.706404,31.773,352
howe2,63,4,6207,103.574235,32.591,11857
howe2,63,4,4187,106.73909,32.169,12846
howe2,63,4,3641,97.84778,32.211,11961
howe2,63,4,8591,103.970742,31.605,1854
howe2,63,4,3580,103.688228,31.799,11999
howe2,63,4,8524,101.660845,31.758,11224
howe2,63,4,2650,105.30069,32.845,6102
howe2,63,4,2811,101.414683,32.57,1743
howe2,63,4,9963,107.889673,32.717,11116
howe2,63,4,7537,107.258797,32.723,11478
howe2,63,4,3472,104.108452,32.423,4151
howe2,63,4,3714,104.880466,32.687,8446
howe2,63,4,8158,103.154011,32.391,3863
howe2,63,4,7284,106.523135,32.257,6148
howe2,63,4,6948,103.679021,31.435,14278
howe2,63,4,6119,102.72458,31.84,2222
howe2,63,4,5253,103.679021,31.944,2865
howe2,63,4,5134,104.706404,31.567,1741
howe2,63,4,7350,105.112118,31.546,11424
howe2,63,4,2652,101.442066,31.997,3192
howe2,63,4,9968,105.240621,31.467,2803
howe2,63,4,3914,104.715611,31.845,5099
howe2,63,4,6899,105.414683,32.469,5632
howe2,63,4,4715,104.28618,32.636,9077
howe2,63,8,8115,61.150345,32.657,5607
howe2,63,8,3520,60.720914,32.245,13757
howe2,63,8,8647,62.282514,32.349,14573
howe2,63,8,9420,62.994459,32.635,337
howe2,63,8,3116,60.264338,31.869,8036
howe2,63,8,6377,61.688228,32.395,12499
howe2,63,8,6207,61.282514,32.223,8555
howe2,63,8,4187,62.003666,32.064,7224
howe2,63,8,3641,57.853083,33.47,6698
howe2,63,8,8591,60.730121,31.695,4389
howe2,63,8,3580,62.282514,32.953,14196
howe2,63,8,8524,63.003666,32.892,11634
howe2,63,8,2650,61.86229,31.947,11409
howe2,63,8,2811,59.42389,32.004,9381
howe2,63,8,9963,62.282514,32.203,9590
howe2,63,8,7537,60.976283,32.146,5312
howe2,63,8,3472,62.273307,31.705,10001
howe2,63,8,3714,60.976283,32.769,13765
howe2,63,8,8158,57.291721,33.558,3054
howe2,63,8,7284,62.273307,32.329,14840
howe2,63,8,6948,61.442066,33.454,9094
howe2,63,8,6119,62.273307,32.152,4579
howe2,63,8,5253,61.73909,32.778,14164
howe2,63,8,5134,62.177728,32.495,7096
howe2,63,8,7350,62.73909,32.481,5031
howe2,63,8,2652,60.442066,31.96,6923
howe2,63,8,9968,60.240621,31.763,3289
howe2,63,8,3914,62.168521,32.676,14654
howe2,63,8,6899,62.282514,32.263,8352
howe2,63,8,4715,61.853083,32.024,14463
howe3,89,2,8115,257.001553,56.67,11180
howe3,89,2,3520,257.421777,56.213,6544
howe3,89,2,8647,258.421777,55.991,9931
howe3,89,2,9420,257.001553,55.991,12243
howe3,89,2,3116,259.271432,56.048,8018
howe3,89,2,6377,256.289608,57.022,9727
howe3,89,2,6207,258.518436,56.029,1234
howe3,89,2,4187,257.869384,56.573,10889
howe3,89,2,3641,254.553946,56.28,455
howe3,89,2,8591,257.115546,56.416,11221
howe3,89,2,3580,259.275098,55.756,7558
howe3,89,2,8524,259.139025,55.911,14101
howe3,89,2,2650,256.586632,58.668,11604
howe3,89,2,2811,255.869384,56.081,5554
howe3,89,2,9963,256.878591,58.667,5719
howe3,89,2,7537,256.289608,55.737,14305
howe3,89,2,3472,257.823825,57.093,13313
howe3,89,2,3714,261.623222,59.562,14351
howe3,89,2,8158,256.289608,57.163,7454
howe3,89,2,7284,259.869384,56.533,4981
howe3,89,2,6948,261.90207,57.841,12148
howe3,89,2,6119,255.389091,58.233,14384
howe3,89,2,5253,256.088163,57.002,2112
howe3,89,2,5134,259.439953,58.886,12413
howe3,89,2,7350,255.983377,58.939,9332
howe3,89,2,2652,258.44916,58.026,9056
howe3,89,2,9968,253.307784,56.667,8055
howe3,89,2,3914,259.028936,58.227,14551
howe3,89,2,6899,259.028936,56.544,2390
howe3,89,2,4715,256.412808,56.772,13868
howe3,89,4,8115,145.865956,57.976,8821
howe3,89,4,3520,145.79668,57.329,10333
howe3,89,4,8647,147.829366,56.923,14857
howe3,89,4,9420,143.427556,56.857,10532
howe3,89,4,3116,143.592411,56.35,7957
howe3,89,4,6377,138.838573,58.316,13734
howe3,89,4,6207,144.171949,58.134,14923
howe3,89,4,4187,141.390966,57.037,8563
howe3,89,4,3641,144.970742,57.982,164
howe3,89,4,8591,144.121087,57.253,4903
howe3,89,4,3580,146.487625,58.777,4680
howe3,89,4,8524,140.715373,57.371,4625
howe3,89,4,2650,141.742756,56.796,2476
howe3,89,4,2811,134.706404,57.19,12706
howe3,89,4,9963,145.970742,58.192,8740
howe3,89,4,7537,143.390728,56.745,13116
howe3,89,4,3472,141.884132,57.193,4634
howe3,89,4,3714,141.871259,57.827,10180
howe3,89,4,8158,141.400173,56.326,2739
howe3,89,4,7284,144.847542,56.428,11356
howe3,89,4,6948,144.130294,57.368,12280
howe3,89,4,6119,141.555821,57.868,715
howe3,89,4,5253,139.583204,57.798,12293
howe3,89,4,5134,144.715373,58.419,12309
howe3,89,4,7350,142.979711,57.461,356
howe3,89,4,2652,143.496594,59.529,1209
howe3,89,4,9968,144.144804,60.377,7812
howe3,89,4,3914,144.875163,56.245,13419
howe3,89,4,6899,146.824063,57.283,14090
howe3,89,4,4715,142.81119,56.501,10510
howe3,89,8,8115,86.154011,57.065,111
howe3,89,8,3520,85.442066,58.716,5491
howe3,89,8,8647,84.17749,58.685,14587
howe3,89,8,9420,84.108452,58.222,10374
howe3,89,8,3116,84.28618,57.454,2715
howe3,89,8,6377,84.442066,57.982,5327
howe3,89,8,6207,84.952566,57.308,11085
howe3,89,8,4187,85.442066,57.857,11823
howe3,89,8,3641,83.282514,58.144,2417
howe3,89,8,8591,85.012635,57.633,2447
howe3,89,8,3580,82.268004,57.25,8438
howe3,89,8,8524,81.86229,57.969,14408
howe3,89,8,2650,84.880466,58.606,12164
howe3,89,8,2811,85.546852,58.199,914
howe3,89,8,9963,84.42389,58.519,8623
howe3,89,8,7537,81.86229,58.714,14158
howe3,89,8,3472,82.73909,58.824,11569
howe3,89,8,3714,85.432859,58.096,4810
howe3,89,8,8158,84.414683,58.009,8380
howe3,89,8,7284,86.154011,57.542,4314
howe3,89,8,6948,84.730121,57.184,14098
howe3,89,8,6119,83.258797,58.427,9466
howe3,89,8,5253,84.30069,59.599,8834
howe3,89,8,5134,83.565028,57.985,9435
howe3,89,8,7350,81.976283,58.055,2173
howe3,89,8,2652,82.268004,56.936,2286
howe3,89,8,9968,82.144804,58.279,5990
howe3,89,8,3914,82.679021,58.762,2527
