GA Version,k,Pop,Gens,Seeds,Selection,Crossover,PX,Mutator,PM,Problem Instance,Num Edges,Num Vertices,Num Odd Edge Vertices,Sum Edges,,Best Total Travel Distance,Best Longest Route,Average Best Per Seed,Standard Dev Subtour Distance,Time Sec,Best Seed,Best Tour
original,7,1000,1000,30,1,2,0.99,2,0.4,6A,50,31,14,190,0,321,51,383.3,25.7283,13187.9,9420,"{{0, 1, 7, 6, 5, 10, 16, 15, 14, 13, 9, 4, 30, 0}: 39.000000, {0, 6, 7, 8, 2, 1, 0, 29, 28, 26, 25, 27, 30, 0}: 50.000000, {0, 30, 5, 10, 11, 17, 20, 21, 19, 18, 12, 8, 2, 1, 0}: 51.000000, {0, 30, 5, 10, 11, 17, 18, 20, 17, 11, 12, 3, 2, 1, 0}: 49.000000, {0, 30, 28, 27, 24, 22, 25, 26, 23, 22, 25, 26, 28, 30, 4, 5, 30, 0}: 41.000000, {0, 1, 7, 11, 12, 18, 21, 18, 12, 8, 2, 1, 0}: 47.000000, {0, 30, 4, 9, 15, 9, 13, 9, 10, 11, 12, 3, 8, 2, 1, 0}: 44.000000}"
original,8,1000,1000,30,1,2,0.99,2,0.4,6A,50,31,14,190,0,386,50,417.4,30.3289,13868.1,4187,"{{0, 1, 2, 8, 12, 18, 19, 21, 18, 12, 3, 2, 1, 0}: 45.000000, {0, 30, 28, 26, 25, 27, 30, 4, 9, 15, 16, 10, 5, 10, 9, 10, 5, 4, 30, 0}: 50.000000, {0, 1, 2, 8, 3, 12, 18, 17, 11, 12, 3, 2, 1, 0}: 48.000000, {0, 29, 28, 30, 4, 9, 13, 9, 4, 30, 28, 26, 25, 22, 24, 27, 30, 0}: 46.000000, {0, 30, 5, 10, 11, 17, 20, 18, 21, 20, 18, 12, 8, 2, 1, 0}: 50.000000, {0, 1, 2, 8, 7, 11, 12, 8, 7, 6, 5, 30, 0}: 49.000000, {0, 30, 4, 9, 10, 11, 12, 3, 2, 1, 7, 6, 0}: 49.000000, {0, 30, 4, 9, 13, 14, 15, 9, 4, 30, 28, 26, 23, 22, 23, 26, 28, 27, 30, 0}: 49.000000}"
original,9,1000,1000,30,1,2,0.99,2,0.4,6A,50,31,14,190,0,412,47,448.667,21.0307,14506,6948,"{{0, 30, 5, 10, 11, 10, 16, 15, 14, 13, 9, 4, 5, 30, 0}: 46.000000, {0, 30, 5, 10, 11, 17, 18, 20, 17, 11, 10, 5, 30, 0}: 47.000000, {0, 1, 2, 8, 12, 18, 19, 21, 18, 12, 8, 2, 1, 0}: 45.000000, {0, 1, 2, 8, 12, 11, 10, 5, 30, 27, 25, 22, 23, 26, 28, 30, 0}: 47.000000, {0, 1, 2, 8, 3, 2, 3, 12, 11, 10, 5, 4, 30, 0}: 45.000000, {0, 1, 2, 8, 7, 6, 5, 10, 16, 15, 9, 4, 30, 28, 29, 0}: 46.000000, {0, 30, 28, 26, 25, 22, 24, 27, 30, 4, 9, 13, 9, 10, 5, 6, 0}: 47.000000, {0, 1, 7, 6, 5, 30, 28, 26, 25, 22, 25, 26, 28, 30, 28, 27, 30, 0}: 42.000000, {0, 1, 7, 11, 17, 20, 21, 18, 12, 3, 2, 1, 0}: 47.000000}"
original,10,1000,1000,30,1,2,0.99,2,0.4,6A,50,31,14,190,0,435,46,483.333,26.7312,14591.3,5134,"{{0, 1, 2, 8, 7, 6, 7, 11, 10, 5, 30, 0}: 39.000000, {0, 6, 5, 10, 16, 15, 14, 15, 9, 15, 16, 10, 5, 30, 0}: 45.000000, {0, 1, 2, 8, 12, 18, 21, 19, 18, 12, 3, 2, 1, 0}: 45.000000, {0, 29, 0, 30, 28, 26, 23, 22, 25, 26, 25, 22, 24, 22, 25, 27, 30, 0}: 45.000000, {0, 30, 5, 10, 11, 17, 18, 20, 18, 12, 3, 2, 1, 0}: 46.000000, {0, 30, 28, 26, 28, 30, 4, 9, 13, 14, 13, 9, 4, 30, 28, 29, 0}: 46.000000, {0, 30, 4, 5, 10, 11, 17, 20, 21, 18, 12, 8, 2, 1, 0}: 45.000000, {0, 30, 4, 30, 27, 24, 27, 28, 30, 0, 1, 7, 1, 0}: 42.000000, {0, 1, 2, 8, 12, 11, 10, 9, 13, 9, 4, 30, 0, 1, 2, 8, 2, 1, 0}: 44.000000, {0, 30, 4, 9, 4, 30, 0, 1, 2, 8, 3, 2, 1, 0}: 38.000000}"
original,2,1000,1000,30,1,2,0.99,2,0.4,7A,66,40,18,249,0,300,150,322.567,17.9549,11580.9,6207,"{{0, 10, 11, 5, 0, 10, 15, 14, 8, 9, 0, 34, 33, 25, 26, 33, 32, 0, 1, 5, 6, 12, 17, 21, 20, 23, 24, 21, 24, 23, 22, 19, 20, 19, 16, 11, 12, 16, 17, 18, 12, 6, 2, 36, 35, 1, 0}: 150.000000, {0, 32, 25, 26, 27, 34, 35, 36, 30, 31, 38, 4, 3, 37, 30, 29, 30, 36, 35, 28, 29, 36, 37, 38, 31, 38, 4, 3, 2, 1, 0, 7, 8, 9, 15, 14, 13, 7, 39, 0}: 150.000000}"
original,3,1000,1000,30,1,2,0.99,2,0.4,7A,66,40,18,249,0,327,110,366.633,21.8166,12731.9,3580,"{{0, 9, 0, 10, 15, 9, 8, 7, 13, 14, 8, 14, 15, 10, 0, 1, 5, 11, 5, 0, 5, 6, 12, 17, 18, 12, 6, 2, 36, 37, 3, 2, 1, 0}: 109.000000, {0, 1, 35, 36, 29, 30, 37, 38, 4, 3, 4, 38, 31, 30, 36, 29, 28, 35, 34, 33, 26, 25, 33, 32, 33, 26, 27, 34, 0}: 108.000000, {0, 10, 11, 5, 6, 12, 17, 16, 11, 12, 16, 19, 20, 23, 24, 21, 20, 19, 22, 23, 24, 21, 17, 12, 6, 2, 1, 0, 39, 7, 0, 32, 25, 32, 0}: 110.000000}"
original,4,1000,1000,30,1,2,0.99,2,0.4,7A,66,40,18,249,0,332,84,406.033,26.1119,14126.7,8591,"{{0, 10, 11, 16, 12, 6, 12, 18, 17, 16, 19, 20, 19, 22, 23, 20, 21, 24, 23, 24, 21, 17, 12, 11, 5, 1, 35, 1, 0}: 84.000000, {0, 5, 6, 2, 3, 37, 3, 2, 36, 37, 36, 29, 28, 35, 1, 5, 11, 5, 0, 7, 13, 14, 8, 14, 15, 9, 0}: 83.000000, {0, 10, 15, 9, 8, 7, 39, 7, 0, 32, 33, 34, 27, 26, 33, 25, 26, 25, 32, 0}: 82.000000, {0, 10, 0, 39, 0, 1, 2, 3, 4, 38, 31, 38, 37, 30, 36, 29, 30, 31, 30, 36, 35, 34, 0}: 83.000000}"
original,5,1000,1000,30,1,2,0.99,2,0.4,7A,66,40,18,249,0,397,81,447.7,32.3246,14861.9,3520,"{{0, 5, 6, 12, 17, 21, 24, 23, 24, 21, 17, 12, 6, 2, 3, 37, 36, 35, 34, 33, 32, 0, 9, 15, 10, 0}: 81.000000, {0, 1, 2, 3, 4, 38, 4, 3, 2, 6, 12, 17, 16, 19, 22, 23, 20, 21, 24, 21, 20, 19, 16, 11, 10, 0, 39, 0}: 79.000000, {0, 32, 25, 33, 32, 33, 26, 25, 26, 27, 34, 0, 1, 35, 1, 5, 11, 12, 16, 11, 5, 0, 1, 0}: 81.000000, {0, 10, 15, 14, 8, 9, 0, 1, 35, 36, 37, 30, 36, 37, 38, 31, 30, 29, 28, 35, 1, 5, 0}: 75.000000, {0, 39, 7, 13, 14, 8, 7, 0, 1, 35, 28, 29, 36, 2, 6, 12, 17, 18, 12, 6, 5, 0, 7, 0}: 81.000000}"
original,6,1000,1000,30,1,2,0.99,2,0.4,7A,66,40,18,249,0,428,74,498.367,38.5223,15718.6,5134,"{{0, 7, 39, 0, 32, 33, 25, 26, 27, 26, 33, 34, 35, 28, 29, 36, 35, 1, 0}: 69.000000, {0, 10, 0, 5, 6, 12, 18, 12, 16, 19, 22, 23, 24, 21, 17, 12, 16, 11, 5, 0, 34, 0}: 69.000000, {0, 5, 11, 12, 16, 19, 20, 21, 24, 21, 20, 19, 20, 23, 24, 21, 17, 18, 17, 16, 17, 12, 6, 2, 1, 0}: 71.000000, {0, 1, 35, 28, 29, 30, 31, 38, 4, 3, 2, 36, 30, 37, 38, 31, 38, 4, 3, 2, 6, 12, 6, 5, 0}: 71.000000, {0, 10, 15, 14, 13, 14, 8, 9, 0, 1, 5, 1, 2, 3, 37, 36, 35, 1, 5, 11, 10, 15, 10, 0}: 74.000000, {0, 10, 15, 9, 8, 7, 13, 7, 0, 32, 33, 34, 27, 26, 25, 32, 0}: 74.000000}"
original,7,1000,1000,30,1,2,0.99,2,0.4,7A,66,40,18,249,0,472,69,540.133,44.9746,16342.2,7537,"{{0, 1, 2, 3, 4, 38, 37, 3, 2, 6, 12, 17, 21, 20, 19, 22, 23, 24, 21, 20, 19, 16, 12, 6, 5, 0}: 67.000000, {0, 10, 0, 1, 35, 36, 37, 30, 29, 36, 2, 6, 12, 17, 21, 20, 23, 20, 21, 17, 12, 6, 5, 0}: 66.000000, {0, 34, 0, 9, 8, 7, 39, 0, 5, 6, 12, 18, 17, 12, 17, 16, 12, 6, 5, 0}: 69.000000, {0, 1, 35, 28, 29, 36, 2, 36, 35, 36, 30, 31, 38, 4, 3, 2, 6, 2, 1, 0, 7, 0}: 69.000000, {0, 32, 25, 33, 25, 26, 27, 26, 33, 32, 0, 10, 15, 9, 8, 14, 13, 7, 0}: 68.000000, {0, 32, 33, 26, 27, 34, 0, 5, 11, 16, 19, 16, 11, 12, 6, 5, 0}: 66.000000, {0, 10, 15, 14, 13, 7, 0, 5, 1, 5, 11, 10, 0, 1, 35, 34, 33, 32, 0}: 67.000000}"
