GA Version,k,Pop,Gens,Seeds,Selection,Crossover,PX,Mutator,PM,Problem Instance,Num Edges,Num Vertices,Num Odd Edge Vertices,Sum Edges,,Best Total Travel Distance,Best Longest Route,Average Best Per Seed,Standard Dev Subtour Distance,Time Sec,Best Seed,Best Tour
,10,,,,,,,,,,,,,,,,,,,,,
original,2,1000,1000,30,1,2,0.99,2,0.4,gdb10,25,12,6,252,0,275,138,279.133,5.16226,2889.25,6377,"{{0, 1, 4, 6, 3, 2, 7, 11, 9, 8, 0, 3, 10, 11, 9, 0}: 137.000000, {0, 10, 0, 7, 8, 2, 1, 6, 1, 3, 5, 10, 5, 4, 0}: 138.000000}"
original,3,1000,1000,30,1,2,0.99,2,0.4,gdb10,25,12,6,252,0,275,93,297.6,12.7739,3079.86,6207,"{{0, 3, 1, 6, 1, 2, 7, 11, 9, 0}: 90.000000, {0, 10, 5, 3, 10, 11, 9, 8, 7, 0}: 93.000000, {0, 4, 1, 0, 8, 2, 3, 6, 4, 5, 10, 0}: 92.000000}"
original,4,1000,1000,30,1,2,0.99,2,0.4,gdb10,25,12,6,252,0,283,73,311.667,15.7508,3210.17,2811,"{{0, 7, 11, 9, 8, 0, 9, 11, 10, 0}: 73.000000, {0, 8, 7, 2, 3, 6, 1, 0}: 72.000000, {0, 3, 5, 4, 1, 2, 8, 0}: 65.000000, {0, 4, 6, 1, 3, 10, 5, 10, 0}: 73.000000}"
original,5,1000,1000,30,1,2,0.99,2,0.4,gdb10,25,12,6,252,0,290,64,329.4,17.4482,3378.06,8524,"{{0, 3, 1, 4, 6, 1, 0}: 55.000000, {0, 8, 7, 11, 9, 8, 0}: 48.000000, {0, 10, 5, 4, 1, 2, 8, 0}: 63.000000, {0, 10, 3, 5, 10, 11, 9, 0}: 64.000000, {0, 4, 6, 3, 2, 7, 0}: 60.000000}"
original,6,1000,1000,30,1,2,0.99,2,0.4,gdb10,25,12,6,252,0,304,53,346.633,21.981,3494.83,2652,"{{0, 4, 1, 3, 2, 8, 0}: 53.000000, {0, 1, 2, 7, 0}: 53.000000, {0, 1, 6, 3, 5, 10, 0}: 53.000000, {0, 8, 7, 11, 9, 8, 0}: 48.000000, {0, 3, 5, 4, 6, 4, 0}: 51.000000, {0, 9, 11, 10, 3, 0}: 46.000000}"
original,7,1000,1000,30,1,2,0.99,2,0.4,gdb10,25,12,6,252,0,323,49,348.767,19.7141,3530.12,8115,"{{0, 4, 6, 1, 3, 0}: 45.000000, {0, 7, 8, 2, 3, 0}: 44.000000, {0, 1, 4, 5, 10, 0}: 49.000000, {0, 3, 5, 10, 3, 0}: 44.000000, {0, 8, 2, 7, 11, 9, 0}: 48.000000, {0, 8, 9, 11, 10, 0}: 44.000000, {0, 3, 6, 1, 2, 8, 0}: 49.000000}"
original,8,1000,1000,30,1,2,0.99,2,0.4,gdb10,25,12,6,252,0,329,44,362.4,19.2451,3621.1,3116,"{{0, 3, 1, 4, 0}: 42.000000, {0, 4, 5, 10, 0}: 39.000000, {0, 3, 5, 10, 3, 0}: 44.000000, {0, 3, 6, 1, 6, 4, 0}: 44.000000, {0, 8, 2, 1, 0}: 36.000000, {0, 8, 9, 11, 10, 0}: 44.000000, {0, 7, 2, 3, 0}: 42.000000, {0, 8, 7, 11, 9, 0}: 38.000000}"
original,9,1000,1000,30,1,2,0.99,2,0.4,gdb10,25,12,6,252,0,359,44,374.667,17.9969,3708.1,8115,"{{0, 3, 2, 1, 0}: 41.000000, {0, 10, 11, 9, 8, 0}: 44.000000, {0, 7, 2, 8, 0}: 37.000000, {0, 3, 1, 0}: 36.000000, {0, 4, 6, 3, 0, 8, 0}: 40.000000, {0, 8, 7, 11, 9, 0}: 38.000000, {0, 4, 1, 6, 1, 0}: 40.000000, {0, 3, 5, 10, 3, 0}: 44.000000, {0, 4, 5, 10, 0}: 39.000000}"
original,10,1000,1000,30,1,2,0.99,2,0.4,gdb10,25,12,6,252,0,374,41,391.633,14.2513,3764.25,7537,"{{0, 4, 1, 6, 4, 0}: 37.000000, {0, 8, 9, 11, 9, 0}: 40.000000, {0, 4, 5, 3, 0}: 41.000000, {0, 10, 5, 10, 11, 7, 0}: 39.000000, {0, 8, 0, 7, 8, 0}: 35.000000, {0, 3, 2, 1, 0}: 41.000000, {0, 3, 6, 4, 0}: 32.000000, {0, 3, 1, 0}: 36.000000, {0, 7, 2, 8, 0}: 37.000000, {0, 10, 3, 0}: 36.000000}"
original,2,1000,1000,30,1,2,0.99,2,0.4,gdb11,45,22,16,356,0,405,203,424.833,15.0113,6921.81,8591,"{{0, 7, 11, 16, 15, 14, 5, 3, 2, 20, 19, 18, 8, 0, 3, 6, 12, 21, 20, 2, 7, 19, 7, 8, 0, 4, 1, 6, 4, 13, 12, 21, 1, 0}: 203.000000, {0, 8, 9, 0, 9, 17, 16, 15, 10, 11, 9, 17, 18, 8, 2, 1, 3, 10, 5, 4, 13, 14, 5, 10, 0}: 202.000000}"
original,3,1000,1000,30,1,2,0.99,2,0.4,gdb11,45,22,16,356,0,429,144,453.967,21.0831,7396.95,4187,"{{0, 3, 10, 0, 10, 5, 3, 6, 12, 21, 20, 2, 3, 1, 4, 13, 4, 0}: 144.000000, {0, 8, 18, 17, 9, 11, 10, 15, 14, 5, 4, 0, 7, 19, 7, 2, 1, 6, 12, 6, 1, 21, 1, 0}: 144.000000, {0, 8, 18, 19, 20, 2, 8, 7, 11, 16, 15, 10, 5, 14, 13, 12, 6, 4, 0, 8, 9, 17, 16, 17, 9, 0}: 141.000000}"
original,4,1000,1000,30,1,2,0.99,2,0.4,gdb11,45,22,16,356,0,439,111,491.7,30.2359,7802.98,9968,"{{0, 3, 10, 11, 7, 2, 3, 0, 8, 18, 19, 20, 2, 20, 19, 7, 0}: 108.000000, {0, 3, 6, 4, 13, 14, 5, 3, 1, 6, 1, 21, 20, 2, 8, 0}: 111.000000, {0, 1, 21, 12, 6, 12, 13, 4, 5, 14, 15, 16, 11, 7, 8, 9, 0}: 110.000000, {0, 4, 1, 2, 8, 18, 17, 9, 11, 10, 15, 16, 17, 16, 15, 14, 5, 10, 0}: 110.000000}"
original,5,1000,1000,30,1,2,0.99,2,0.4,gdb11,45,22,16,356,0,448,93,501.9,28.4586,8046.26,2650,"{{0, 7, 19, 18, 17, 16, 15, 10, 3, 1, 0}: 93.000000, {0, 1, 21, 12, 6, 1, 2, 3, 5, 14, 15, 10, 11, 9, 17, 9, 0}: 93.000000, {0, 7, 2, 20, 21, 12, 13, 4, 5, 10, 0}: 87.000000, {0, 4, 13, 14, 15, 10, 11, 16, 17, 16, 11, 7, 19, 7, 11, 9, 8, 0}: 85.000000, {0, 4, 1, 4, 6, 3, 0, 8, 18, 8, 2, 20, 19, 7, 8, 0}: 90.000000}"
original,6,1000,1000,30,1,2,0.99,2,0.4,gdb11,45,22,16,356,0,461,81,534.067,32.8724,8418.67,6899,"{{0, 4, 6, 12, 6, 1, 2, 8, 9, 11, 9, 0}: 81.000000, {0, 4, 13, 14, 5, 4, 1, 6, 3, 0}: 75.000000, {0, 1, 3, 2, 20, 19, 7, 11, 16, 17, 18, 8, 0}: 81.000000, {0, 8, 2, 3, 5, 3, 2, 7, 0}: 73.000000, {0, 10, 5, 10, 15, 16, 17, 9, 11, 10, 15, 14, 15, 10, 3, 0}: 74.000000, {0, 8, 7, 19, 18, 8, 2, 20, 21, 1, 21, 12, 13, 4, 0}: 77.000000}"
original,7,1000,1000,30,1,2,0.99,2,0.4,gdb11,45,22,16,356,0,518,77,576.6,36.1502,8439.69,3472,"{{0, 9, 11, 7, 8, 0, 4, 13, 12, 6, 12, 21, 1, 0}: 77.000000, {0, 8, 2, 1, 6, 3, 10, 0}: 71.000000, {0, 3, 5, 4, 6, 1, 21, 1, 3, 0}: 72.000000, {0, 7, 0, 3, 2, 20, 21, 1, 4, 13, 4, 0}: 73.000000, {0, 8, 18, 8, 0, 4, 13, 14, 5, 10, 11, 7, 19, 20, 2, 8, 0}: 75.000000, {0, 9, 17, 18, 8, 2, 7, 19, 18, 8, 0}: 74.000000, {0, 8, 9, 11, 16, 15, 10, 5, 14, 15, 16, 17, 9, 11, 10, 0}: 76.000000}"
original,8,1000,1000,30,1,2,0.99,2,0.4,gdb11,45,22,16,356,0,508,69,586.367,43.019,8206.14,3714,"{{0, 10, 3, 6, 12, 21, 1, 0}: 61.000000, {0, 8, 7, 11, 16, 17, 18, 8, 0}: 52.000000, {0, 10, 5, 4, 13, 14, 15, 10, 0}: 64.000000, {0, 9, 8, 2, 7, 19, 7, 0}: 69.000000, {0, 4, 13, 4, 6, 1, 6, 3, 2, 20, 19, 18, 8, 0}: 69.000000, {0, 3, 5, 14, 5, 10, 11, 16, 11, 9, 17, 16, 15, 10, 0}: 62.000000, {0, 4, 13, 12, 13, 4, 1, 21, 20, 19, 7, 0}: 65.000000, {0, 3, 1, 6, 12, 6, 1, 2, 8, 0}: 66.000000}"
original,9,1000,1000,30,1,2,0.99,2,0.4,gdb11,45,22,16,356,0,497,59,601.4,36.8805,8302.75,7284,"{{0, 8, 18, 19, 20, 21, 12, 6, 4, 0}: 55.000000, {0, 4, 5, 14, 5, 10, 15, 10, 3, 0}: 59.000000, {0, 8, 9, 17, 16, 17, 9, 17, 18, 8, 0}: 58.000000, {0, 9, 11, 10, 15, 16, 11, 7, 0}: 47.000000, {0, 1, 6, 3, 5, 14, 15, 10, 0}: 57.000000, {0, 4, 13, 14, 5, 3, 2, 8, 0}: 56.000000, {0, 3, 1, 4, 13, 12, 21, 1, 0}: 59.000000, {0, 8, 2, 20, 2, 7, 8, 0}: 50.000000, {0, 9, 11, 7, 19, 20, 2, 1, 0}: 56.000000}"
original,10,1000,1000,30,1,2,0.99,2,0.4,gdb11,45,22,16,356,0,554,58,631.967,40.2215,8666.79,3472,"{{0, 3, 6, 4, 5, 10, 0}: 53.000000, {0, 8, 18, 19, 7, 11, 10, 15, 14, 13, 4, 0}: 57.000000, {0, 7, 2, 3, 2, 20, 2, 8, 0}: 57.000000, {0, 8, 18, 8, 2, 1, 21, 1, 4, 0}: 50.000000, {0, 8, 2, 8, 9, 11, 10, 0}: 56.000000, {0, 9, 11, 10, 5, 14, 15, 16, 17, 16, 11, 7, 0}: 57.000000, {0, 7, 19, 20, 21, 1, 6, 12, 13, 4, 0}: 58.000000, {0, 8, 18, 17, 9, 11, 10, 5, 3, 0}: 56.000000, {0, 1, 21, 12, 6, 1, 3, 0}: 52.000000, {0, 8, 7, 11, 16, 15, 10, 3, 0}: 58.000000}"
original,2,1000,1000,30,1,2,0.99,2,0.4,gdb12,23,13,6,336,0,384,192,391.8,6.0959,2618.32,6377,"{{0, 2, 5, 11, 12, 8, 12, 10, 11, 7, 1, 2, 0, 4, 0}: 192.000000, {0, 3, 4, 9, 10, 3, 9, 5, 1, 7, 8, 6, 1, 0}: 192.000000}"
original,3,1000,1000,30,1,2,0.99,2,0.4,gdb12,23,13,6,336,0,384,130,407.1,13.0699,2759.87,5134,"{{0, 2, 1, 7, 8, 12, 11, 5, 9, 4, 0}: 129.000000, {0, 4, 3, 9, 10, 11, 7, 1, 0}: 130.000000, {0, 2, 5, 1, 6, 8, 12, 10, 3, 0}: 125.000000}"
original,4,1000,1000,30,1,2,0.99,2,0.4,gdb12,23,13,6,336,0,396,100,426.533,21.3927,2922.89,8591,"{{0, 1, 7, 11, 10, 3, 0}: 99.000000, {0, 1, 6, 8, 12, 8, 7, 1, 0}: 97.000000, {0, 2, 1, 5, 9, 3, 4, 0}: 100.000000, {0, 3, 4, 9, 10, 12, 11, 5, 2, 0}: 100.000000}"
original,5,1000,1000,30,1,2,0.99,2,0.4,gdb12,23,13,6,336,0,469,96,476.9,18.0469,3205.48,9420,"{{0, 1, 7, 8, 12, 10, 9, 4, 3, 0}: 96.000000, {0, 3, 10, 9, 3, 0}: 91.000000, {0, 2, 5, 2, 1, 5, 9, 4, 3, 0}: 90.000000, {0, 1, 5, 11, 12, 8, 6, 1, 0}: 96.000000, {0, 4, 9, 10, 11, 7, 1, 0}: 96.000000}"
original,6,1000,1000,30,1,2,0.99,2,0.4,gdb12,23,13,6,336,0,533,93,543.2,17.4153,3540.75,8115,"{{0, 4, 9, 10, 12, 11, 5, 1, 0}: 93.000000, {0, 1, 7, 8, 6, 1, 0}: 81.000000, {0, 4, 9, 4, 3, 9, 5, 1, 0}: 88.000000, {0, 1, 5, 11, 10, 3, 0}: 89.000000, {0, 1, 5, 11, 12, 8, 7, 1, 0}: 89.000000, {0, 2, 5, 11, 7, 1, 2, 0}: 93.000000}"
original,7,1000,1000,30,1,2,0.99,2,0.4,gdb12,23,13,6,336,0,607,93,599.633,20.1717,3788.85,3520,"{{0, 4, 9, 4, 3, 0, 1, 2, 0}: 74.000000, {0, 1, 7, 11, 5, 9, 4, 0}: 92.000000, {0, 1, 5, 11, 12, 8, 7, 1, 0}: 89.000000, {0, 1, 5, 11, 12, 10, 9, 4, 0}: 93.000000, {0, 2, 5, 1, 0, 4, 9, 3, 0}: 89.000000, {0, 1, 6, 8, 7, 1, 0}: 81.000000, {0, 3, 10, 11, 5, 1, 0}: 89.000000}"
original,8,1000,1000,30,1,2,0.99,2,0.4,gdb12,23,13,6,336,0,675,93,665.033,25.0086,4170.35,3520,"{{0, 1, 2, 0, 2, 5, 9, 4, 0}: 81.000000, {0, 3, 4, 9, 10, 11, 5, 2, 0}: 93.000000, {0, 1, 6, 1, 7, 11, 5, 1, 0}: 88.000000, {0, 1, 5, 11, 10, 3, 0}: 89.000000, {0, 1, 7, 8, 12, 8, 7, 1, 0}: 90.000000, {0, 3, 4, 9, 3, 0}: 60.000000, {0, 1, 5, 11, 12, 10, 9, 4, 0}: 93.000000, {0, 1, 6, 8, 7, 1, 0}: 81.000000}"
original,9,1000,1000,30,1,2,0.99,2,0.4,gdb12,23,13,6,336,0,701,93,722.5,30.5273,4413.84,3520,"{{0, 1, 5, 11, 12, 8, 7, 1, 0}: 89.000000, {0, 1, 2, 5, 9, 4, 3, 0}: 69.000000, {0, 3, 9, 5, 9, 4, 0}: 84.000000, {0, 4, 0, 1, 6, 1, 0, 3, 0}: 86.000000, {0, 2, 0, 1, 5, 1, 0}: 40.000000, {0, 1, 7, 8, 6, 1, 0}: 81.000000, {0, 1, 7, 11, 5, 1, 0}: 70.000000, {0, 1, 5, 11, 10, 3, 0}: 89.000000, {0, 1, 5, 11, 12, 10, 9, 4, 0}: 93.000000}"
original,10,1000,1000,30,1,2,0.99,2,0.4,gdb12,23,13,6,336,0,841,93,771.067,29.7836,4658.38,3520,"{{0, 1, 6, 8, 7, 1, 0}: 81.000000, {0, 3, 10, 9, 4, 0}: 77.000000, {0, 1, 6, 1, 0, 3, 9, 4, 0}: 86.000000, {0, 4, 9, 10, 12, 11, 5, 1, 0}: 93.000000, {0, 4, 9, 10, 9, 4, 3, 0, 2, 0}: 90.000000, {0, 1, 5, 11, 10, 9, 4, 0}: 86.000000, {0, 3, 0, 1, 5, 11, 5, 2, 0}: 85.000000, {0, 1, 2, 1, 5, 9, 5, 1, 0}: 84.000000, {0, 1, 7, 11, 5, 1, 0}: 70.000000, {0, 1, 7, 8, 12, 11, 5, 1, 0}: 89.000000}"
original,2,1000,1000,30,1,2,0.99,2,0.4,gdb13,28,10,4,509,0,520,260,531.467,9.32285,3008.39,6207,"{{0, 6, 8, 4, 0, 1, 7, 6, 5, 2, 6, 9, 8, 5, 0, 8, 7, 0}: 260.000000, {0, 2, 7, 9, 6, 4, 3, 1, 4, 5, 2, 1, 2, 3, 0}: 260.000000}"
original,3,1000,1000,30,1,2,0.99,2,0.4,gdb13,28,10,4,509,0,520,174,547.467,14.3242,3210.97,3580,"{{0, 5, 4, 8, 5, 2, 7, 1, 0, 6, 2, 1, 3, 2, 0}: 174.000000, {0, 7, 6, 8, 9, 6, 4, 0}: 174.000000, {0, 3, 4, 1, 2, 5, 6, 9, 7, 8, 0}: 172.000000}"
original,4,1000,1000,30,1,2,0.99,2,0.4,gdb13,28,10,4,509,0,530,133,555.267,16.5064,3253.7,8591,"{{0, 3, 4, 8, 9, 6, 0, 6, 4, 5, 0}: 133.000000, {0, 2, 6, 7, 8, 5, 2, 1, 2, 5, 2, 3, 1, 4, 0}: 132.000000, {0, 7, 9, 6, 0}: 132.000000, {0, 1, 7, 2, 5, 6, 8, 0}: 133.000000}"
original,5,1000,1000,30,1,2,0.99,2,0.4,gdb13,28,10,4,509,0,592,128,616.067,13.6478,3697.52,8115,"{{0, 2, 5, 6, 5, 2, 1, 4, 8, 9, 6, 2, 5, 0, 4, 3, 0}: 126.000000, {0, 6, 9, 6, 8, 7, 1, 2, 1, 3, 0}: 128.000000, {0, 1, 3, 2, 5, 8, 4, 8, 0}: 95.000000, {0, 6, 7, 9, 6, 0}: 128.000000, {0, 6, 4, 5, 2, 7, 0}: 115.000000}"
original,6,1000,1000,30,1,2,0.99,2,0.4,gdb13,28,10,4,509,0,649,128,688.5,28.4391,4108.74,3520,"{{0, 6, 9, 7, 6, 0}: 128.000000, {0, 3, 4, 1, 2, 5, 0, 4, 3, 1, 3, 0, 6, 0}: 73.000000, {0, 2, 7, 8, 5, 2, 6, 0, 7, 1, 3, 0}: 128.000000, {0, 3, 2, 5, 4, 6, 0}: 101.000000, {0, 6, 5, 2, 1, 3, 4, 8, 5, 2, 1, 0, 6, 9, 8, 0}: 110.000000, {0, 6, 9, 6, 0, 2, 0, 6, 8, 0}: 109.000000}"
original,7,1000,1000,30,1,2,0.99,2,0.4,gdb13,28,10,4,509,0,795,128,748,37.6793,4318.05,3520,"{{0, 5, 0, 8, 7, 0}: 93.000000, {0, 3, 4, 3, 1, 2, 7, 1, 3, 4, 5, 2, 3, 1, 0}: 127.000000, {0, 7, 0, 6, 9, 8, 5, 0}: 108.000000, {0, 6, 9, 6, 2, 1, 2, 0, 8, 6, 0}: 117.000000, {0, 3, 1, 2, 5, 6, 0, 3, 4, 1, 4, 0, 6, 2, 1, 3, 4, 8, 0}: 114.000000, {0, 6, 9, 7, 6, 0}: 128.000000, {0, 6, 4, 6, 0, 2, 0}: 108.000000}"
original,8,1000,1000,30,1,2,0.99,2,0.4,gdb13,28,10,4,509,0,734,128,794.3,35.7996,4412,3520,"{{0, 7, 2, 1, 4, 0}: 72.000000, {0, 6, 9, 7, 6, 0}: 128.000000, {0, 3, 4, 6, 0}: 54.000000, {0, 2, 5, 4, 0, 6, 5, 0}: 67.000000, {0, 4, 8, 6, 0}: 83.000000, {0, 3, 2, 3, 1, 0}: 80.000000, {0, 6, 2, 5, 0, 6, 0, 2, 1, 7, 8, 5, 2, 1, 0}: 123.000000, {0, 6, 9, 8, 5, 2, 1, 7, 1, 3, 4, 3, 0, 8, 0, 6, 9, 6, 0}: 127.000000}"
original,9,1000,1000,30,1,2,0.99,2,0.4,gdb13,28,10,4,509,0,797,128,800.967,38.433,4481.63,3520,"{{0, 3, 4, 3, 1, 2, 5, 2, 0, 6, 4, 3, 0, 3, 1, 2, 0}: 104.000000, {0, 4, 1, 4, 5, 2, 0}: 60.000000, {0, 6, 8, 4, 3, 1, 2, 5, 6, 5, 0}: 123.000000, {0, 6, 2, 7, 8, 7, 0}: 106.000000, {0, 6, 9, 7, 6, 0}: 128.000000, {0, 4, 0, 6, 9, 8, 0}: 54.000000, {0, 8, 0}: 22.000000, {0, 2, 5, 8, 5, 2, 1, 7, 0}: 78.000000, {0, 3, 2, 3, 1, 3, 0, 6, 9, 6, 0, 1, 0}: 122.000000}"
original,10,1000,1000,30,1,2,0.99,2,0.4,gdb13,28,10,4,509,0,832,128,818.067,43.4365,4573.85,3520,"{{0, 3, 1, 2, 3, 0}: 48.000000, {0, 4, 5, 2, 0}: 36.000000, {0, 8, 7, 8, 4, 6, 0}: 113.000000, {0, 6, 9, 6, 0, 5, 0}: 54.000000, {0, 4, 1, 2, 6, 9, 8, 5, 2, 7, 0}: 121.000000, {0, 6, 5, 0}: 31.000000, {0, 6, 9, 7, 6, 0}: 128.000000, {0, 3, 1, 7, 1, 0, 1, 3, 4, 3, 0, 7, 0}: 126.000000, {0, 6, 8, 0, 8, 5, 0}: 117.000000, {0, 3, 0, 2, 0, 4, 8, 0}: 58.000000}"
original,2,1000,1000,30,1,2,0.99,2,0.4,gdb14,21,7,0,96,0,96,48,98.3333,1.86786,1928.9,8115,"{{0, 1, 2, 3, 5, 6, 4, 2, 6, 3, 0}: 48.000000, {0, 6, 1, 4, 3, 1, 5, 0, 4, 5, 2, 0}: 48.000000}"
original,3,1000,1000,30,1,2,0.99,2,0.4,gdb14,21,7,0,96,0,98,33,101.3,3.2777,2012.52,3520,"{{0, 1, 4, 6, 5, 3, 4, 5, 2, 4, 0}: 33.000000, {0, 3, 1, 5, 0, 2, 1, 0}: 32.000000, {0, 1, 6, 3, 2, 6, 0}: 33.000000}"
original,4,1000,1000,30,1,2,0.99,2,0.4,gdb14,21,7,0,96,0,100,25,107,4.3282,2133.87,3914,"{{0, 1, 5, 3, 4, 6, 0}: 25.000000, {0, 1, 2, 4, 0, 1, 3, 2, 0}: 25.000000, {0, 1, 4, 5, 6, 3, 0}: 25.000000, {0, 5, 2, 6, 1, 0}: 25.000000}"
original,5,1000,1000,30,1,2,0.99,2,0.4,gdb14,21,7,0,96,0,104,21,109.833,5.98377,2189.2,8115,"{{0, 5, 1, 4, 2, 1, 0}: 21.000000, {0, 2, 5, 3, 2, 0}: 21.000000, {0, 3, 1, 4, 6, 0}: 21.000000, {0, 2, 6, 5, 4, 0}: 21.000000, {0, 1, 6, 3, 4, 1, 0}: 20.000000}"
original,6,1000,1000,30,1,2,0.99,2,0.4,gdb14,21,7,0,96,0,105,18,113.267,6.72276,2238.52,2650,"{{0, 1, 3, 6, 4, 1, 0}: 18.000000, {0, 1, 5, 3, 4, 0}: 18.000000, {0, 2, 6, 1, 0}: 17.000000, {0, 3, 2, 4, 0}: 18.000000, {0, 2, 4, 5, 6, 0}: 17.000000, {0, 1, 2, 5, 0}: 17.000000}"
original,7,1000,1000,30,1,2,0.99,2,0.4,gdb14,21,7,0,96,0,111,17,117.567,3.05159,2295.37,6377,"{{0, 2, 3, 4, 0}: 16.000000, {0, 6, 3, 0}: 17.000000, {0, 5, 6, 1, 0}: 16.000000, {0, 4, 2, 5, 3, 1, 0}: 17.000000, {0, 1, 2, 0, 1, 0}: 11.000000, {0, 1, 4, 2, 6, 4, 0}: 17.000000, {0, 1, 5, 4, 0}: 17.000000}"
original,8,1000,1000,30,1,2,0.99,2,0.4,gdb14,21,7,0,96,0,122,16,124.433,4.19272,2343.8,3472,"{{0, 1, 6, 5, 0}: 16.000000, {0, 1, 4, 2, 1, 0, 4, 0}: 14.000000, {0, 5, 3, 0}: 16.000000, {0, 2, 5, 1, 0}: 15.000000, {0, 4, 5, 0}: 14.000000, {0, 1, 3, 6, 0}: 15.000000, {0, 1, 4, 6, 2, 0}: 16.000000, {0, 4, 3, 2, 0}: 16.000000}"
original,9,1000,1000,30,1,2,0.99,2,0.4,gdb14,21,7,0,96,0,131,16,133.867,5.97625,2449.2,8591,"{{0, 6, 3, 4, 0}: 16.000000, {0, 6, 5, 6, 0, 1, 0}: 16.000000, {0, 5, 3, 0}: 16.000000, {0, 5, 4, 0}: 14.000000, {0, 1, 6, 0}: 12.000000, {0, 1, 5, 2, 4, 0}: 16.000000, {0, 2, 6, 4, 0}: 16.000000, {0, 2, 3, 1, 0}: 15.000000, {0, 1, 2, 4, 1, 0}: 10.000000}"
original,10,1000,1000,30,1,2,0.99,2,0.4,gdb14,21,7,0,96,0,141,15,139.733,5.83057,2492.15,6377,"{{0, 2, 3, 1, 0}: 15.000000, {0, 5, 4, 0}: 14.000000, {0, 6, 2, 4, 1, 0}: 14.000000, {0, 3, 0}: 14.000000, {0, 6, 3, 1, 0}: 15.000000, {0, 2, 1, 0}: 9.000000, {0, 4, 2, 5, 6, 0}: 15.000000, {0, 4, 6, 1, 0}: 15.000000, {0, 4, 3, 5, 0}: 15.000000, {0, 2, 5, 1, 0}: 15.000000}"
original,2,1000,1000,30,1,2,0.99,2,0.4,gdb15,21,7,0,56,0,56,28,58.4,1.58325,2206.97,8115,"{{0, 4, 6, 1, 4, 2, 1, 3, 6, 2, 3, 0}: 28.000000, {0, 1, 5, 6, 0, 5, 4, 3, 5, 2, 0}: 28.000000}"
original,3,1000,1000,30,1,2,0.99,2,0.4,gdb15,21,7,0,56,0,60,20,61.5,2.37697,2273.49,3520,"{{0, 6, 2, 5, 4, 0, 6, 4, 0}: 20.000000, {0, 2, 4, 1, 0, 5, 3, 1, 2, 3, 0}: 20.000000, {0, 4, 3, 6, 5, 1, 6, 0}: 20.000000}"
original,4,1000,1000,30,1,2,0.99,2,0.4,gdb15,21,7,0,56,0,64,16,64.9667,2.61385,2419.72,3520,"{{0, 5, 4, 6, 1, 5, 0}: 16.000000, {0, 3, 1, 2, 5, 3, 2, 0}: 16.000000, {0, 1, 0, 2, 4, 3, 0, 6, 2, 0}: 16.000000, {0, 4, 1, 5, 6, 3, 0}: 16.000000}"
original,5,1000,1000,30,1,2,0.99,2,0.4,gdb15,21,7,0,56,0,62,13,67.2667,2.82764,2552.5,8647,"{{0, 5, 1, 6, 4, 1, 0}: 13.000000, {0, 5, 3, 4, 2, 0}: 13.000000, {0, 3, 6, 2, 0, 5, 0}: 11.000000, {0, 5, 2, 1, 3, 2, 0}: 12.000000, {0, 4, 5, 6, 0}: 13.000000}"
original,6,1000,1000,30,1,2,0.99,2,0.4,gdb15,21,7,0,56,0,68,12,69.8,3.36056,2671.88,3520,"{{0, 5, 2, 0, 1, 5, 1, 0}: 11.000000, {0, 5, 4, 1, 3, 0}: 11.000000, {0, 4, 2, 0, 6, 1, 2, 0}: 11.000000, {0, 4, 3, 2, 6, 0}: 12.000000, {0, 3, 6, 4, 0}: 11.000000, {0, 6, 5, 3, 0}: 12.000000}"
original,7,1000,1000,30,1,2,0.99,2,0.4,gdb15,21,7,0,56,0,72,11,72.7667,2.41776,2821.07,8647,"{{0, 6, 3, 5, 0}: 10.000000, {0, 4, 1, 6, 4, 0}: 11.000000, {0, 5, 4, 3, 0}: 11.000000, {0, 3, 2, 4, 0}: 8.000000, {0, 3, 0, 5, 6, 0}: 10.000000, {0, 2, 1, 0, 6, 2, 0, 5, 0}: 11.000000, {0, 3, 1, 0, 2, 5, 1, 0}: 11.000000}"
original,8,1000,1000,30,1,2,0.99,2,0.4,gdb15,21,7,0,56,0,72,10,73.9333,3.67816,2861.38,3520,"{{0, 5, 2, 0}: 5.000000, {0, 5, 4, 2, 0}: 10.000000, {0, 6, 4, 1, 0}: 9.000000, {0, 6, 5, 1, 0}: 10.000000, {0, 3, 6, 2, 0}: 9.000000, {0, 2, 1, 0, 4, 0, 1, 6, 0}: 10.000000, {0, 2, 3, 4, 0}: 9.000000, {0, 3, 1, 0, 3, 5, 0}: 10.000000}"
original,9,1000,1000,30,1,2,0.99,2,0.4,gdb15,21,7,0,56,0,72,9,76.7,2.95691,2932,8115,"{{0, 5, 3, 1, 0}: 8.000000, {0, 6, 5, 0}: 8.000000, {0, 2, 0, 4, 0, 2, 6, 0}: 9.000000, {0, 6, 4, 0}: 7.000000, {0, 1, 5, 2, 0}: 7.000000, {0, 4, 2, 1, 0}: 7.000000, {0, 4, 3, 2, 0}: 9.000000, {0, 5, 4, 1, 0}: 9.000000, {0, 3, 6, 1, 0}: 8.000000}"
